1520565,1506235,1528064,1556998,1527512,1520471,1528861,1525018,1472365,1522441,1514631,1526082,1426627,1570215,1521854,1507056,1522353,1518033,1530133,1699408,1490825,1528765,1491295,1516740,1572897,1538322,1518383,1533639,1520897,1236308,1527052,1513715,1530819,1531670,1511109,1549219,1534958,1525883,1530905,1601486,1525827,1517905,1515653,1526794,1510971,1534925,1519022,1516471,1520208,1518665,1519785,1527829,1456215,1528144,1522902,1531367,1494546,1523691,1526218,1544547,1512601,1517098,1520977,1522650,1523492
1566390,1518860,1567446,1592368,1574229,1565001,1567719,1560396,1484889,1558856,1550843,1561893,1472448,1633787,1560208,1552162,1564499,1555341,1561253,1737761,1537762,1555929,1561823,1550852,1614412,1547837,1555974,1594043,1562478,1257210,1557829,1549665,1578656,1571097,1549261,1591087,1548641,1552569,1556776,1652367,1567072,1537333,1564913,1552418,1565795,1556537,1560376,1568563,1557226,1557383,1560979,1557701,1497948,1562933,1528514,1558376,1523191,1562043,1561805,1588803,1561691,1554277,1566757,1564184,1560957
1601721,1520574,1605774,1635275,1603556,1595726,1614678,1594620,1495118,1592545,1587043,1601351,1484388,1693508,1607653,1594604,1590827,1591418,1605342,1783894,1570858,1593336,1571675,1606361,1652831,1599220,1590278,1661077,1594301,1285398,1602449,1588294,1609842,1598379,1587335,1604192,1602785,1596792,1606852,1690306,1586405,1596171,1596792,1566288,1594975,1599518,1599684,1589773,1602864,1580998,1592571,1600169,1510754,1604655,1593601,1599259,1583656,1600307,1600112,1611468,1582998,1599525,1597674,1602548,1598295
1675540,1570424,1669862,1696480,1664701,1654068,1669856,1672872,1557655,1669229,1671767,1671491,1537280,1770077,1655756,1645284,1662413,1659169,1669750,1839308,1639553,1670730,1640569,1677477,1728403,1678118,1663301,1740589,1660813,1333889,1671523,1639650,1692807,1659794,1657681,1630787,1660812,1679689,1677619,1794787,1655898,1669579,1659514,1626181,1663633,1672795,1663759,1672803,1662570,1644396,1664417,1660216,1572535,1670891,1633824,1667567,1690770,1662890,1674221,1713699,1659126,1675159,1667989,1672798,1666748
1680138,1602048,1680103,1668428,1680936,1659249,1663749,1672832,1582202,1682243,1702175,1680045,1490176,1767649,1680616,1675294,1671801,1674963,1679384,1872240,1682331,1674774,1671351,1683274,1767024,1671898,1676019,1733234,1680650,1300499,1684905,1667119,1732529,1666714,1672364,1601877,1685734,1701196,1675468,1828397,1674534,1655000,1683487,1651820,1685943,1672820,1683029,1665789,1675667,1656310,1682114,1677486,1550613,1687253,1644401,1671193,1745557,1674191,1686895,1690216,1666125,1693188,1680107,1681543,1679067
1669052,1633216,1657572,1621560,1667132,1627083,1635457,1660286,1609302,1646645,1683467,1660198,1453666,1698077,1674819,1655456,1650906,1654171,1654421,1857459,1672420,1656955,1635589,1658462,1753384,1652733,1658254,1669879,1666317,1282141,1661552,1663373,1733273,1644406,1653990,1563895,1651481,1692233,1653122,1809678,1659678,1604508,1658466,1651290,1657791,1642019,1670938,1658925,1659586,1651463,1652735,1659893,1520934,1648781,1667068,1658731,1746164,1653706,1665792,1629741,1665573,1674564,1660803,1666480,1658620
1603050,1625049,1602479,1564489,1611133,1579332,1585858,1609646,1595657,1602569,1620658,1606117,1401315,1604992,1590097,1603346,1592180,1598437,1600727,1797072,1611901,1606704,1585351,1596960,1704339,1619670,1604281,1578781,1594177,1221783,1605109,1598350,1674995,1595805,1597740,1513472,1599058,1629402,1606699,1761407,1606911,1552256,1589632,1614592,1593019,1611638,1605199,1615909,1609024,1599418,1596661,1598690,1465419,1598518,1605513,1611371,1689609,1598354,1610995,1586364,1606556,1610547,1601660,1611347,1603375
1572533,1628841,1581534,1532099,1597871,1577943,1562770,1563264,1611273,1604598,1599964,1584869,1378886,1547023,1572537,1583119,1578810,1578464,1576915,1783433,1604501,1579656,1575810,1578812,1689532,1588970,1581314,1539429,1572500,1192568,1586449,1588285,1644382,1580141,1576317,1514677,1601884,1590722,1569824,1729295,1583362,1524343,1590337,1600992,1595057,1587736,1570521,1555594,1582265,1584037,1593410,1582592,1441497,1591831,1566541,1567199,1649430,1575949,1590333,1576288,1570394,1586133,1579390,1579161,1582293
1572603,1637709,1565600,1500385,1599943,1569773,1549444,1577229,1625012,1550510,1571846,1567463,1363360,1498879,1578225,1588227,1574735,1559899,1554424,1775664,1598233,1554924,1586085,1564682,1671029,1531182,1563225,1498807,1562620,1171631,1557414,1584098,1647268,1559331,1558913,1535207,1540816,1560200,1543744,1709188,1562514,1458561,1571093,1602677,1570397,1550944,1570385,1578266,1567926,1577877,1583649,1567011,1435337,1548957,1555672,1554981,1594013,1558976,1572559,1528745,1585266,1570723,1564821,1558806,1564640
1532592,1630509,1550833,1494920,1572315,1588588,1542454,1562239,1630052,1547153,1544567,1552025,1345356,1465068,1540376,1564750,1563236,1546322,1543126,1763515,1571179,1564341,1536319,1545158,1652745,1573339,1548675,1480125,1552908,1149711,1544461,1558604,1606537,1543767,1534877,1563960,1564289,1511369,1552907,1681308,1552668,1478754,1535207,1585739,1524726,1538634,1561247,1553477,1543283,1564049,1550968,1546460,1408207,1559011,1554077,1568451,1535078,1543667,1557503,1520928,1538347,1554317,1548614,1532418,1549527
1543256,1592729,1537537,1496863,1584027,1577591,1557101,1503865,1614861,1544657,1496902,1536516,1354699,1449305,1530639,1573871,1548549,1532005,1526858,1757947,1554623,1515525,1547960,1527413,1622492,1523722,1531002,1488233,1536971,1152209,1526659,1553999,1576955,1530613,1524368,1589042,1528364,1490013,1524558,1637801,1537037,1450171,1547084,1556733,1544009,1547244,1523352,1528187,1529665,1556602,1525983,1536084,1423934,1525477,1545038,1528735,1476446,1530598,1540344,1491846,1548222,1537664,1534739,1521374,1534795
1489425,1517730,1488196,1484061,1517856,1509143,1503507,1495324,1542246,1479372,1451611,1485251,1341870,1418965,1484919,1510316,1492114,1480255,1477860,1687274,1473335,1487749,1466436,1476045,1553503,1471092,1477087,1458316,1478786,1149057,1476293,1491129,1512114,1480767,1469178,1545194,1477824,1455766,1479901,1569677,1486354,1420534,1477556,1487297,1484792,1477761,1484636,1487709,1488453,1500730,1484722,1481719,1397411,1472999,1519932,1478976,1411955,1479936,1487503,1443471,1490429,1484567,1485619,1470226,1482852
1423707,1439044,1433024,1450354,1444822,1429344,1439860,1424863,1461763,1428046,1401557,1428544,1316632,1392223,1426216,1433627,1423612,1422708,1427061,1611094,1400575,1425272,1409519,1418889,1485149,1434754,1417980,1420040,1426792,1127589,1423633,1426997,1445496,1426144,1413098,1466951,1430347,1422898,1436171,1509524,1429132,1393876,1425927,1411420,1417606,1429353,1425428,1420082,1424396,1431394,1419933,1422809,1361391,1417720,1442490,1429917,1373507,1424749,1429107,1418992,1435091,1427398,1428329,1424586,1425956
1408885,1405572,1412417,1428724,1420465,1397269,1410956,1404542,1414359,1404268,1396214,1407327,1298071,1399962,1404438,1406120,1400470,1400537,1406155,1578600,1384302,1398031,1404205,1404036,1465056,1398293,1395839,1408198,1401351,1109302,1403731,1400601,1429442,1403745,1394070,1417285,1401427,1411446,1404452,1498842,1403744,1374943,1408745,1394603,1408365,1415928,1398749,1402808,1403855,1396889,1406943,1408252,1333913,1400315,1390806,1398071,1381266,1404174,1408321,1416066,1411077,1408709,1407519,1408584,1405001
1407390,1395221,1416324,1413877,1416378,1402213,1401254,1415192,1407190,1407069,1410895,1410868,1281811,1405878,1396697,1401476,1406766,1400682,1407451,1582792,1396086,1411130,1398521,1407975,1475059,1404963,1395636,1416908,1411000,1103995,1403276,1404252,1440344,1399988,1394098,1398056,1402497,1408110,1401343,1507901,1405213,1372818,1399883,1399659,1407815,1394081,1409963,1416734,1403450,1400504,1413005,1406030,1313204,1407176,1398363,1405818,1408363,1405104,1410735,1403527,1402810,1414803,1411113,1408293,1406398
1395033,1377036,1404338,1405466,1410127,1392174,1402470,1384648,1408827,1398988,1392393,1400115,1274967,1384903,1408141,1395053,1394177,1392550,1401574,1580039,1386579,1393976,1384036,1406089,1460937,1398095,1389609,1414341,1401915,1108416,1398926,1406541,1425042,1383965,1387144,1380485,1403037,1399948,1397464,1484087,1388876,1368418,1400115,1389818,1396829,1392394,1400918,1384156,1400680,1393360,1390413,1398973,1313642,1398661,1412068,1401286,1412259,1395951,1403447,1377817,1393409,1411423,1395894,1399215,1397889
1360850,1332544,1356651,1367478,1362638,1342548,1358275,1365555,1373935,1346195,1352678,1355929,1238862,1337736,1356135,1341624,1351874,1350380,1352784,1518427,1336099,1352382,1346998,1358722,1415421,1355550,1351621,1373239,1345976,1070527,1353866,1352707,1391037,1339634,1343636,1332404,1348187,1365936,1366719,1455968,1352350,1333124,1353817,1336963,1345417,1359271,1362432,1362152,1357404,1343930,1346780,1361916,1279957,1357293,1356078,1357923,1375614,1351254,1363612,1347279,1351896,1371870,1353509,1358700,1355090
1312324,1299476,1316311,1314139,1318528,1292853,1305054,1302428,1335383,1319477,1319946,1314701,1182549,1285121,1298468,1300072,1308990,1302421,1308888,1480109,1297652,1313133,1298567,1302500,1370563,1316375,1303953,1315816,1306883,1031466,1305832,1311498,1343545,1300624,1300080,1283750,1313618,1326511,1298257,1401571,1319584,1282890,1306775,1312489,1317860,1317703,1301225,1308474,1308284,1306674,1318071,1312871,1224643,1310058,1314241,1305073,1340071,1305879,1319734,1300148,1308511,1322166,1310425,1315576,1310513
1310986,1321719,1324478,1323557,1328910,1301435,1316127,1317829,1354997,1321398,1321380,1321854,1207553,1282111,1320019,1305330,1316909,1309942,1324427,1484911,1304317,1313163,1318558,1315670,1381554,1309807,1310851,1312369,1315441,1044709,1315516,1320412,1351380,1314630,1307908,1295048,1318293,1332995,1310903,1408494,1317506,1281139,1321205,1318600,1323772,1313284,1314612,1310814,1324128,1317401,1329514,1317298,1247953,1318033,1314495,1310462,1343411,1313403,1327049,1313576,1314633,1320419,1313275,1315765,1317752
1307067,1316696,1309022,1311687,1313714,1291643,1299095,1316743,1338373,1298023,1313845,1308804,1189866,1274126,1309210,1297718,1302767,1301018,1305187,1472537,1291779,1305001,1309064,1307804,1372982,1305520,1303855,1293799,1313048,1023727,1307999,1306165,1349744,1310369,1295458,1284902,1299006,1321688,1307234,1406226,1303034,1267239,1305658,1310653,1295503,1296193,1315386,1317630,1296812,1304819,1309252,1307485,1226664,1302950,1295021,1314777,1328463,1300229,1317092,1304616,1312934,1302063,1300662,1312607,1306449
1306518,1315889,1312984,1312346,1321402,1307877,1309055,1305347,1337448,1313083,1309993,1314828,1182685,1281576,1307451,1307248,1310807,1304795,1309127,1483933,1300366,1313746,1307325,1304130,1378641,1318539,1310344,1302884,1317409,1021438,1314811,1310277,1345607,1324039,1299159,1296882,1314702,1315126,1315022,1403930,1316229,1282068,1305882,1315964,1303970,1309140,1317761,1308808,1312745,1318032,1300503,1311851,1219147,1315105,1309427,1319523,1324751,1304633,1322028,1297073,1305932,1298713,1307345,1311007,1311529
1356428,1348427,1358048,1357909,1368593,1356790,1354786,1340836,1385558,1363867,1345392,1356734,1241960,1318142,1347392,1342652,1353233,1345916,1353913,1523752,1339317,1345696,1348869,1343395,1412987,1354551,1348301,1350638,1350548,1068332,1354083,1348877,1375927,1374051,1341273,1350557,1359313,1349859,1351382,1438775,1356841,1323928,1360201,1355498,1360003,1362473,1343907,1341078,1347805,1360568,1345147,1351773,1276852,1357468,1348553,1341930,1350808,1347237,1361760,1351612,1346760,1332474,1355016,1350893,1352804
